Year,Tournament,Singles Winner,Runner-up,Score,Doubles Winner,Runner-up,Score
1991,Hamburg,Karel Nováček,Magnus Gustafsson,"6–3, 6–3, 5–7, 0–6, 6–1"," Sergio Casal
 Emilio Sánchez"," Cassio Motta
 Danie Visser","7–6, 7–6"
1991,Rome,Emilio Sánchez,Alberto Mancini,"6–3, 6–1, 3–0, RET"," Omar Camporese
 Goran Ivanišević"," Luke Jensen
 Laurie Warder","6–2, 6–3"
1991,Montreal,Andrei Chesnokov,Petr Korda,"3–6, 6–4, 6–3"," Patrick Galbraith
 Todd Witsken"," Grant Connell
 Glenn Michibata",
1991,Cincinnati,Guy Forget,Pete Sampras,"2–6, 7–6(7–4), 6–4"," Ken Flach
 Robert Seguso"," Grant Connell
 Glenn Michibata","6–3, 6–4"
1991,Stockholm,Boris Becker,Stefan Edberg,"3–6, 6–4, 1–6, 6–2, 6–2"," John Fitzgerald
 Anders Järryd"," Tom Nijssen
 Cyril Suk","7–5, 6–3"
1991,Paris,Guy Forget,Pete Sampras,"7–6(11–9), 4–6, 5–7, 6–4, 6–4"," John Fitzgerald
 Anders Järryd"," Kelly Jones
 Rick Leach","7–6, 6–4"
1992,Indian Wells,Michael Chang,Andrei Chesnokov,"6–3, 6–4, 7–5"," Steve DeVries
 David Macpherson"," Kent Kinnear
 Sven Salumaa","6–3, 2–6, 6–4"
1992,Miami,Michael Chang,Alberto Mancini,"7–5, 7–5"," Ken Flach
 Todd Witsken"," Kent Kinnear
 Sven Salumaa","6–4, 6–3"
1992,Monte Carlo,Thomas Muster,Aaron Krickstein,"6–3, 6–1, 6–3"," Boris Becker
 Michael Stich"," Petr Korda
 Karel Nováček","3–6, 6–1, 6–4"
1992,Hamburg,Stefan Edberg,Michael Stich,"5–7, 6–4, 6–1"," Sergio Casal
 Emilio Sánchez"," Carl-Uwe Steeb
 Michael Stich","6–3, 3–6, 6–4"
1992,Rome,Jim Courier,Carlos Costa,"7–6(7–3), 6–0, 6–4"," Jakob Hlasek
 Marc Rosset"," Wayne Ferreira
 Mark Kratzmann","6–4, 3–6, 6–1"
1992,Toronto,Andre Agassi,Ivan Lendl,"3–6, 6–2, 6–0"," Danie Visser
 Patrick Galbraith"," Andre Agassi
 John McEnroe","6–4, 6–4"
1992,Cincinnati,Pete Sampras,Ivan Lendl,"6–3, 3–6, 6–3"," Todd Woodbridge
 Mark Woodforde"," Patrick McEnroe
 Jonathan Stark","7–6, 6–4"
1992,Stockholm,Goran Ivanišević,Guy Forget,"7–6(7–2), 4–6, 7–6(7–5), 6–2"," Mark Woodforde
 Todd Woodbridge"," Steve DeVries
 David Macpherson","6–4, 6–4"
1992,Paris,Boris Becker,Guy Forget,"7–6(7–3), 6–3, 3–6, 6–3"," John McEnroe
 Patrick McEnroe"," Patrick Galbraith
 Danie Visser","7–6, 6–3"
1993,Indian Wells,Jim Courier,Wayne Ferreira,"6–3, 6–3, 6–1"," Guy Forget
 Henri Leconte"," Luke Jensen
 Scott Melville","4–6, 6–2, 7–6"
1993,Miami,Pete Sampras,MaliVai Washington,"6–3, 6–2"," Richard Krajicek
 Jan Siemerink"," Patrick McEnroe
 Jonathan Stark","6–7, 6–4, 7–6"
1993,Monte Carlo,Sergi Bruguera,Cédric Pioline,"7–6(7–2), 6–0"," Stefan Edberg
 Petr Korda"," Paul Haarhuis
 Mark Koevermans","6–2 2–6, 7–5"
1993,Hamburg,Michael Stich,Andrei Chesnokov,"6–3, 6–7(1–7), 7–6(9–7), 6–4"," Paul Haarhuis
 Mark Koevermans"," Grant Connell
 Patrick Galbraith","7–6, 6–4"
1993,Rome,Jim Courier,Goran Ivanišević,"6–1, 6–2, 6–2"," Jacco Eltingh
 Paul Haarhuis"," Wayne Ferreira
 Mark Kratzmann","6–4, 7–6"
1993,Montreal,Mikael Pernfors,Todd Martin,"2–6, 6–2, 7–5"," Jim Courier
 Mark Knowles"," Glenn Michibata
 David Pate",6–1 1–6 7–6
1993,Cincinnati,Michael Chang,Stefan Edberg,"7–5, 0–6, 6–4"," Andre Agassi
 Petr Korda"," Stefan Edberg
 Henrik Holm","6–4, 7–6"
1993,Stockholm,Michael Stich,Goran Ivanišević,"4–6, 7–6(8–6), 7–6(7–3), 6–2"," Mark Woodforde
 Todd Woodbridge"," Gary Muller
 Danie Visser","7–6, 5–7, 7–6"
1993,Paris,Goran Ivanišević,Andriy Medvedev,"6–4, 6–2, 7–6(7–3)"," Byron Black
 Jonathan Stark"," Tom Nijssen
 Cyril Suk","7–6, 6–4"
1994,Indian Wells,Pete Sampras,Petr Korda,"4–6, 6–3, 3–6, 6–3, 6–2"," Grant Connell
 Patrick Galbraith"," Byron Black
 Jonathan Stark","3–6, 6–1, 7–6"
1994,Miami,Pete Sampras,Andre Agassi,"5–7, 6–3, 6–3"," Jacco Eltingh
 Paul Haarhuis"," Mark Knowles
 Jared Palmer","7–6, 7–6"
1994,Monte Carlo,Andriy Medvedev,Sergi Bruguera,"7–5, 6–1, 6–3"," Nicklas Kulti
 Magnus Larsson"," Yevgeny Kafelnikov
 Daniel Vacek","3–6, 7–6, 6–4"
1994,Hamburg,Andriy Medvedev,Yevgeny Kafelnikov,"6–4, 6–4, 3–6, 6–3"," Scott Melville
 Piet Norval"," Henrik Holm
 Anders Järryd","7–6, 6–3"
1994,Rome,Pete Sampras,Boris Becker,"6–1, 6–2, 6–2"," Yevgeny Kafelnikov
 David Rikl"," Wayne Ferreira
 Javier Sánchez","6–1, 7–5"
1994,Toronto,Andre Agassi,Jason Stoltenberg,"6–4, 6–4"," Byron Black
 Jonathan Stark"," Jared Palmer
 Patrick McEnroe","6–4, 6–4"
1994,Cincinnati,Michael Chang,Stefan Edberg,"6–2, 7–5"," Alex O'Brien
 Sandon Stolle"," Wayne Ferreira
 Mark Kratzmann","7–6, 3–6, 6–3"
1994,Stockholm,Boris Becker,Goran Ivanišević,"4–6, 6–4, 6–3, 7–6(7–4)"," Mark Woodforde
 Todd Woodbridge"," Jan Apell
 Jonas Björkman","6–4, 4–6, 6–3"
1994,Paris,Andre Agassi,Marc Rosset,"6–3, 6–3, 4–6, 7–5"," Jacco Eltingh
 Paul Haarhuis"," Byron Black
 Jonathan Stark","6–4, 6–3"
1995,Indian Wells,Pete Sampras,Andre Agassi,"7–5, 6–3, 7–5"," Tommy Ho
 Brett Steven"," Gary Muller
 Piet Norval","7–6, 6–7, 6–4"
1995,Miami,Andre Agassi,Pete Sampras,"3–6, 6–2, 7–6(7–4)"," Todd Woodbridge
 Mark Woodforde"," Jim Grabb
 Patrick McEnroe","6–3, 7–6"
1995,Monte Carlo,Thomas Muster,Boris Becker,"4–6, 5–7, 6–1, 7–6(8–6), 6–0"," Jacco Eltingh
 Paul Haarhuis"," Luis Lobo
 Javier Sánchez","6–1, 6–2"
1995,Hamburg,Andriy Medvedev,Goran Ivanišević,"6–3, 6–2, 6–1"," Wayne Ferreira
 Yevgeny Kafelnikov"," Byron Black
 Andrei Olhovskiy","7–6, 6–0"
1995,Rome,Thomas Muster,Sergi Bruguera,"3–6, 7–6(7–5), 6–2, 6–3"," Cyril Suk
 Daniel Vacek"," Jan Apell
 Jonas Björkman","6–3, 6–4"
1995,Montreal,Andre Agassi,Pete Sampras,"3–6, 6–2, 6–3"," Yevgeny Kafelnikov
 Andrei Olhovskiy"," Brian MacPhie
 Sandon Stolle","6–4, 6–4"
1995,Cincinnati,Andre Agassi,Michael Chang,"7–5, 6–2"," Todd Woodbridge
 Mark Woodforde"," Mark Knowles
 Daniel Nestor","6–4, 6–4"
1995,Essen,Thomas Muster,MaliVai Washington,"7–6(8–6), 2–6, 6–3, 6–4"," Jacco Eltingh
 Paul Haarhuis"," Cyril Suk
 Daniel Vacek","7–5, 6–7, 6–4"
1995,Paris,Pete Sampras,Boris Becker,"7–6(7–5), 6–4, 6–4"," Grant Connell
 Patrick Galbraith"," Jim Grabb
 Todd Martin","6–3, 7–6"
1996,Indian Wells,Michael Chang,Paul Haarhuis,"7–5, 6–1, 6–1"," Todd Woodbridge
 Mark Woodforde"," Brian MacPhie
 Michael Tebbutt","6–3, 6–4"
1996,Miami,Andre Agassi,Goran Ivanišević,"3–0, RET"," Todd Woodbridge
 Mark Woodforde"," Ellis Ferreira
 Patrick Galbraith","6–1, 6–3"
1996,Monte Carlo,Thomas Muster,Albert Costa,"6–3, 5–7, 4–6, 6–3, 6–2"," Ellis Ferreira
 Jan Siemerink"," Jonas Björkman
 Nicklas Kulti","6–2, 6–7, 6–2"
1996,Rome,Thomas Muster,Richard Krajicek,"6–2, 6–4, 3–6, 6–3"," Byron Black
 Grant Connell"," Libor Pimek
 Byron Talbot","6–2, 6–3"
1996,Hamburg,Roberto Carretero,Àlex Corretja,"2–6, 6–4, 6–4, 6–4"," Mark Knowles
 Daniel Nestor"," Guy Forget
 Jakob Hlasek","6–4, 7–6"
1996,Toronto,Wayne Ferreira,Todd Woodbridge,"6–2, 6–4"," Patrick Galbraith
 Paul Haarhuis"," Mark Knowles
 Daniel Nestor","7–6, 6–3"
1996,Cincinnati,Andre Agassi,Michael Chang,"7–6(7–4), 6–4"," Mark Knowles
 Daniel Nestor"," Sandon Stolle
 Cyril Suk","6–2, 7–5"
1996,Stuttgart,Boris Becker,Pete Sampras,"3–6, 6–3, 3–6, 6–3, 6–4"," Sébastien Lareau
 Alex O'Brien"," Jacco Eltingh
 Paul Haarhuis","6–4, 6–4"
1996,Paris,Thomas Enqvist,Yevgeny Kafelnikov,"6–2, 6–4, 7–5"," Jacco Eltingh
 Paul Haarhuis"," Yevgeny Kafelnikov
 Daniel Vacek","6–2, 6–4"
1997,Indian Wells,Michael Chang,Bohdan Ulihrach,"4–6, 6–3, 6–4, 6–3"," Mark Knowles
 Daniel Nestor"," Mark Philippoussis
 Patrick Rafter","7–5, 6–4"
1997,Miami,Thomas Muster,Sergi Bruguera,"7–6(8–6), 6–3, 6–1"," Todd Woodbridge
 Mark Woodforde"," Mark Knowles
 Daniel Nestor","7–6, 7–6"
1997,Monte Carlo,Marcelo Ríos,Àlex Corretja,"6–4, 6–3, 6–3"," Donald Johnson
 Francisco Montana"," Jacco Eltingh
 Paul Haarhuis","6–4, 6–4"
1997,Rome,Àlex Corretja,Marcelo Ríos,"7–5, 7–5, 6–3"," Mark Knowles
 Daniel Nestor"," Byron Black
 Alex O'Brien","6–3, 4–6, 7–5"
1997,Hamburg,Andriy Medvedev,Félix Mantilla,"6–0, 6–4, 6–2"," Luis Lobo
 Javier Sánchez"," Neil Broad
 Piet Norval","6–2, 3–6, 6–4"
1997,Montreal,Chris Woodruff,Gustavo Kuerten,"7–5, 4–6, 6–3"," Mahesh Bhupathi
 Leander Paes"," Sébastien Lareau
 Alex O'Brien","4–6, 6–3, 6–4"
1997,Cincinnati,Pete Sampras,Thomas Muster,"6–3, 6–4"," Todd Woodbridge
 Mark Woodforde"," Mark Philippoussis
 Patrick Rafter","6–4, 6–2"
1997,Stuttgart,Petr Korda,Richard Krajicek,"7–6(8–6), 6–2, 6–4"," Mark Woodforde
 Todd Woodbridge"," Rick Leach
 Jonathan Stark","7–6, 7–6"
1997,Paris,Pete Sampras,Jonas Björkman,"6–3, 4–6, 6–3, 6–1"," Jacco Eltingh
 Paul Haarhuis"," Rick Leach
 Jonathan Stark","6–2, 6–4"
1998,Indian Wells,Marcelo Ríos,Greg Rusedski,"6–3, 6–7(15–17), 7–6(7–4), 6–4"," Jonas Björkman
 Patrick Rafter"," Todd Martin
 Richey Reneberg","6–0, 6–3"
1998,Miami,Marcelo Ríos,Andre Agassi,"7–5, 6–3, 6–4"," Ellis Ferreira
 Rick Leach"," Alex O'Brien
 Jonathan Stark","6–2, 6–4"
1998,Monte Carlo,Carlos Moyà,Cédric Pioline,"6–3, 6–0, 7–5"," Jacco Eltingh
 Paul Haarhuis"," Todd Woodbridge
 Mark Woodforde","6–4, 6–2"
1998,Rome,Marcelo Ríos,Albert Costa,W/O," Mahesh Bhupathi
 Leander Paes"," Ellis Ferreira
 Rick Leach","6–4, 4–6, 7–6"
1998,Hamburg,Albert Costa,Àlex Corretja,"6–2, 6–0, 1–0, RET"," Donald Johnson
 Francisco Montana"," David Adams
 Brett Steven","6–4, 6–4"
1998,Toronto,Patrick Rafter,Richard Krajicek,"7–6(7–3), 6–4"," Martin Damm
 Jim Grabb"," Ellis Ferreira
 Rick Leach",6–7 6–2 7–6
1998,Cincinnati,Patrick Rafter,Pete Sampras,"1–6, 7–6(7–2), 6–4"," Mark Knowles
 Daniel Nestor"," Olivier Delaître
 Fabrice Santoro","6–7, 6–4, 6–4"
1998,Stuttgart,Richard Krajicek,Yevgeny Kafelnikov,"6–4, 6–3, 6–3"," Sébastien Lareau
 Alex O'Brien"," Mahesh Bhupathi
 Leander Paes","4–6, 6–3, 7–5"
1998,Paris,Greg Rusedski,Pete Sampras,"6–4, 7–6(7–4), 6–3"," Mahesh Bhupathi
 Leander Paes"," Jacco Eltingh
 Paul Haarhuis","7–6, 7–6"
1999,Indian Wells,Mark Philippoussis,Carlos Moyà,"5–7, 6–4, 6–4, 4–6, 6–2"," Wayne Black
 Sandon Stolle"," Ellis Ferreira
 Rick Leach","6–3, 6–4"
1999,Miami,Richard Krajicek,Sébastien Grosjean,"4–6, 6–1, 6–2, 7–5"," Wayne Black
 Sandon Stolle"," Boris Becker
 Jan-Michael Gambill","6–1, 6–1"
1999,Monte Carlo,Gustavo Kuerten,Marcelo Ríos,"6–4, 2–1, RET"," Olivier Delaître
 Tim Henman"," Jiří Novák
 David Rikl","3–6, 6–4, 6–2"
1999,Rome,Gustavo Kuerten,Patrick Rafter,"6–4, 7–5, 7–6(8–6)"," Ellis Ferreira
 Rick Leach"," David Adams
 John–Laffnie de Jager","6–7, 6–1, 6–2"
1999,Hamburg,Marcelo Ríos,Mariano Zabaleta,"6–7(5–7), 7–5, 5–7, 7–6(7–5), 6–2"," Wayne Arthurs
 Andrew Kratzmann"," Paul Haarhuis
 Jared Palmer","4–6, 7–6, 6–4"
1999,Montreal,Thomas Johansson,Yevgeny Kafelnikov,"1–6, 6–3, 6–3"," Jonas Björkman
 Patrick Rafter"," Byron Black
 Wayne Ferreira","7–6, 6–4"
1999,Cincinnati,Pete Sampras,Patrick Rafter,"7–6(9–7), 6–3"," Byron Black
 Jonas Björkman"," Todd Woodbridge
 Mark Woodforde","6–1, 2–6, 7–6"
1999,Stuttgart,Thomas Enqvist,Richard Krajicek,"6–1, 6–4, 5–7, 7–5"," Byron Black
 Jonas Björkman"," David Adams
 John–Laffnie de Jager","6–3, 6–4"
1999,Paris,Andre Agassi,Marat Safin,"7–6(7–1), 6–2, 4–6, 6–4"," Sébastien Lareau
 Alex O'Brien"," Paul Haarhuis
 Jared Palmer","6–1, 6–3"
2000,Indian Wells,Àlex Corretja,Thomas Enqvist,"6–4, 6–4, 6–3"," Alex O'Brien
 Jared Palmer"," Paul Haarhuis
 Sandon Stolle","6–4, 7–6"
2000,Miami,Pete Sampras,Gustavo Kuerten,"6–1, 6–7(2–7), 7–6(7–5), 7–6(10–8)"," Todd Woodbridge
 Mark Woodforde"," Martin Damm
 Dominik Hrbatý","6–3, 6–4"
2000,Monte Carlo,Cédric Pioline,Dominik Hrbatý,"6–3, 7–6(7–3), 7–6(8–6)"," Wayne Ferreira
 Yevgeny Kafelnikov"," Paul Haarhuis
 Sandon Stolle","6–3, 2–6, 6–1"
2000,Rome,Magnus Norman,Gustavo Kuerten,"6–3, 4–6, 6–4, 6–4"," Martin Damm
 Dominik Hrbatý"," Wayne Ferreira
 Yevgeny Kafelnikov","6–4, 4–6, 6–3"
2000,Hamburg,Gustavo Kuerten,Marat Safin,"6–4, 5–7, 6–4, 5–7, 7–6(7–3)"," Todd Woodbridge
 Mark Woodforde"," Wayne Arthurs
 Sandon Stolle","6–7, 6–4, 6–3"
2000,Toronto,Marat Safin,Harel Levy,"6–3, 6–2"," Sébastien Lareau
 Daniel Nestor"," Joshua Eagle
 Andrew Florent","6–3, 7–6"
2000,Cincinnati,Thomas Enqvist,Tim Henman,"7–6(7–5), 6–4"," Todd Woodbridge
 Mark Woodforde"," Ellis Ferreira
 Rick Leach","7–6, 6–4"
2000,Stuttgart,Wayne Ferreira,Lleyton Hewitt,"7–6(8–6),3–6, 6–7(5–7), 7–6(7–2), 6–2"," Jiří Novák
 David Rikl"," Donald Johnson
 Piet Norval","6–2, 6–2"
2000,Paris,Marat Safin,Mark Philippoussis,"3–6, 7–6(9–7), 6–4, 3–6, 7–6(10–8)"," Nicklas Kulti
 Max Mirnyi"," Paul Haarhuis
 Daniel Nestor","7–6(8–6), 7–5"
2001,Indian Wells,Andre Agassi,Pete Sampras,"7–6(7–5), 7–5, 6–1"," Wayne Ferreira
 Yevgeny Kafelnikov"," Jonas Björkman
 Todd Woodbridge","6–2, 7–5"
2001,Miami,Andre Agassi,Jan-Michael Gambill,"7–6(7–4), 6–1, 6–0"," Jiří Novák
 David Rikl"," Jonas Björkman
 Todd Woodbridge","7–5, 7–6"
2001,Monte Carlo,Gustavo Kuerten,Hicham Arazi,"6–3, 6–2, 6–4"," Jonas Björkman
 Todd Woodbridge"," Joshua Eagle
 Andrew Florent","3–6, 6–4, 6–2"
2001,Rome,Juan Carlos Ferrero,Gustavo Kuerten,"3–6, 6–1, 2–6, 6–4, 6–2"," Wayne Ferreira
 Yevgeny Kafelnikov"," Daniel Nestor
 Sandon Stolle","6–4, 7–6"
2001,Hamburg,Albert Portas,Juan Carlos Ferrero,"4–6, 6–2, 0–6, 7–6(7–5), 7–5"," Jonas Björkman
 Todd Woodbridge"," Daniel Nestor
 Sandon Stolle","7–6, 3–6, 6–3"
2001,Montreal,Andrei Pavel,Patrick Rafter,"7–6(7–3), 2–6, 6–3"," Jiří Novák
 David Rikl"," Donald Johnson
 Jared Palmer","6–4, 3–6, 6–3"
2001,Cincinnati,Gustavo Kuerten,Patrick Rafter,"6–1, 6–3"," Mahesh Bhupathi
 Leander Paes"," Martin Damm
 David Prinosil","7–6, 6–3"
2001,Stuttgart,Tommy Haas,Max Mirnyi,"6–2, 6–2, 6–2"," Max Mirnyi
 Sandon Stolle"," Ellis Ferreira
 Jeff Tarango","7–6, 6–3"
2001,Paris,Sébastien Grosjean,Yevgeny Kafelnikov,"7–6(7–3), 6–1, 6–7(5–7), 6–4"," Ellis Ferreira
 Rick Leach"," Mahesh Bhupathi
 Leander Paes","5–7, 7–6(7–2), 6–4"
2002,Indian Wells,Lleyton Hewitt,Tim Henman,"6–1, 6–2"," Mark Knowles
 Daniel Nestor"," Roger Federer
 Max Mirnyi","6–4, 6–4"
2002,Miami,Andre Agassi,Roger Federer,"6–3, 6–3, 3–6, 6–4"," Mark Knowles
 Daniel Nestor"," Donald Johnson
 Jared Palmer","6–3, 3–6, 6–1"
2002,Monte Carlo,Juan Carlos Ferrero,Carlos Moyà,"7–5, 6–3, 6–4"," Jonas Björkman
 Todd Woodbridge"," Paul Haarhuis
 Yevgeny Kafelnikov","6–3, 3–6, 10–7"
2002,Rome,Andre Agassi,Tommy Haas,"6–3, 6–3, 6–0"," Martin Damm
 Cyril Suk"," Wayne Black
 Kevin Ullyett","7–5, 7–5"
2002,Hamburg,Roger Federer,Marat Safin,"6–1, 6–3, 6–4"," Mahesh Bhupathi
 Jan-Michael Gambill"," Jonas Björkman
 Todd Woodbridge","6–2, 6–4"
2002,Toronto,Guillermo Cañas,Andy Roddick,"6–4, 7–5"," Bob Bryan
 Mike Bryan"," Mark Knowles
 Daniel Nestor","4–6, 7–6(7–1), 6–3"
2002,Cincinnati,Carlos Moyà,Lleyton Hewitt,"7–5, 7–6(7–5)"," James Blake
 Todd Martin"," Mahesh Bhupathi
 Max Mirnyi","7–5, 6–3"
2002,Madrid,Andre Agassi,Jiří Novák,W/O," Mark Knowles
 Daniel Nestor"," Mahesh Bhupathi
 Max Mirnyi","6–3, 5–7, 6–0"
2002,Paris,Marat Safin,Lleyton Hewitt,"7–6(7–4), 6–0, 6–4"," Nicolas Escudé
 Fabrice Santoro"," Gustavo Kuerten
 Cédric Pioline","6–3, 6–3"
2003,Indian Wells,Lleyton Hewitt,Gustavo Kuerten,"6–1, 6–1"," Wayne Ferreira
 Yevgeny Kafelnikov"," Bob Bryan
 Mike Bryan","6–1, 6–4"
2003,Miami,Andre Agassi,Carlos Moyà,"6–3, 6–3"," Roger Federer
 Max Mirnyi"," Leander Paes
 David Rikl","7–5, 6–3"
2003,Monte Carlo,Juan Carlos Ferrero,Guillermo Coria,"6–2, 6–2"," Mahesh Bhupathi
 Max Mirnyi"," Michaël Llodra
 Fabrice Santoro","4–6, 7–5, 6–2"
2003,Rome,Félix Mantilla,Roger Federer,"7–5, 6–2, 7–6(10–8)"," Wayne Arthurs
 Paul Hanley"," Michaël Llodra
 Fabrice Santoro","7–5, 7–6"
2003,Hamburg,Guillermo Coria,Agustín Calleri,"6–3, 6–4, 6–4"," Mark Knowles
 Daniel Nestor"," Mahesh Bhupathi
 Max Mirnyi","6–4, 6–4"
2003,Montreal,Andy Roddick,David Nalbandian,"6–1, 6–3"," Mahesh Bhupathi
 Max Mirnyi"," Jonas Björkman
 Todd Woodbridge","6–3, 7–6(7–4)"
2003,Cincinnati,Andy Roddick,Mardy Fish,"4–6, 7–6(7–3), 7–6(7–4)"," Bob Bryan
 Mike Bryan"," Wayne Arthurs
 Paul Hanley","7–6, 6–4"
2003,Madrid,Juan Carlos Ferrero,Nicolás Massú,"6–3, 6–4, 6–3"," Mahesh Bhupathi
 Max Mirnyi"," Wayne Black
 Kevin Ullyett","6–2, 2–6, 6–3"
2003,Paris,Tim Henman,Andrei Pavel,"6–2, 7–6(8–6), 7–6(7–2)"," Wayne Arthurs
 Paul Hanley"," Michaël Llodra
 Fabrice Santoro","6–3, 1–6, 6–3"
2004,Indian Wells,Roger Federer,Tim Henman,"6–3, 6–3"," Arnaud Clément
 Sébastien Grosjean"," Wayne Black
 Kevin Ullyett","6–3, 4–6, 7–5"
2004,Miami,Andy Roddick,Guillermo Coria,"6–7(2–7), 6–3, 6–1, RET"," Wayne Black
 Kevin Ullyett"," Jonas Björkman
 Todd Woodbridge","6–2, 7–6"
2004,Monte Carlo,Guillermo Coria,Rainer Schüttler,"6–2, 6–1, 6–3"," Tim Henman
 Nenad Zimonjić"," Gastón Etlis
 Martín Rodríguez",7–5 6–4
2004,Rome,Carlos Moyà,David Nalbandian,"6–3, 6–3, 6–1"," Mahesh Bhupathi
 Max Mirnyi"," Wayne Arthurs
 Paul Hanley","1–6, 6–4, 7–6"
2004,Hamburg,Roger Federer,Guillermo Coria,"4–6, 6–4, 6–2, 6–3"," Wayne Black
 Kevin Ullyett"," Bob Bryan
 Mike Bryan","6–1, 6–2"
2004,Toronto,Roger Federer,Andy Roddick,"7–5, 6–3"," Mahesh Bhupathi
 Leander Paes"," Jonas Björkman
 Max Mirnyi","6–4, 6–2"
2004,Cincinnati,Andre Agassi,Lleyton Hewitt,"6–3, 3–6, 6–2"," Mark Knowles
 Daniel Nestor"," Jonas Björkman
 Todd Woodbridge","7–6, 6–3"
2004,Madrid,Marat Safin,David Nalbandian,"6–2, 6–4, 6–3"," Mark Knowles
 Daniel Nestor"," Bob Bryan
 Mike Bryan","6–3, 6–4"
2004,Paris,Marat Safin,Radek Štěpánek,"6–3, 7–6(7–5), 6–3"," Jonas Björkman
 Todd Woodbridge"," Wayne Black
 Kevin Ullyett","6–3, 6–4"
2005,Indian Wells,Roger Federer,Lleyton Hewitt,"6–2, 6–4, 6–4"," Mark Knowles
 Daniel Nestor"," Wayne Arthurs
 Paul Hanley","7–6, 7–6"
2005,Miami,Roger Federer,Rafael Nadal,"2–6, 6–7(4–7), 7–6(7–5), 6–3, 6–1"," Jonas Björkman
 Max Mirnyi"," Wayne Black
 Kevin Ullyett","6–1, 6–2"
2005,Monte Carlo,Rafael Nadal,Guillermo Coria,"6–3, 6–1, 0–6, 7–5"," Leander Paes
 Nenad Zimonjić"," Bob Bryan
 Mike Bryan",W/O
2005,Rome,Rafael Nadal,Guillermo Coria,"6–4, 3–6, 6–3, 4–6, 7–6(8–6) [1]"," Michaël Llodra
 Fabrice Santoro"," Bob Bryan
 Mike Bryan","7–5, 6–4"
2005,Hamburg,Roger Federer,Richard Gasquet,"6–3, 7–5, 7–6(7–4)"," Jonas Björkman
 Max Mirnyi"," Michaël Llodra
 Fabrice Santoro","6–2, 6–3"
2005,Montreal,Rafael Nadal,Andre Agassi,"6–3, 4–6, 6–2"," Wayne Black
 Kevin Ullyett"," Jonathan Erlich
 Andy Ram","6–7(5–7), 6–3, 6–0"
2005,Cincinnati,Roger Federer,Andy Roddick,"6–3, 7–5"," Jonas Björkman
 Max Mirnyi"," Wayne Black
 Kevin Ullyett","6–4, 5–7, 6–2"
2005,Madrid,Rafael Nadal,Ivan Ljubičić,"3–6, 2–6, 6–3, 6–4, 7–6(7–3)"," Mark Knowles
 Daniel Nestor"," Leander Paes
 Nenad Zimonjić","3–6, 6–3, 6–2"
2005,Paris,Tomáš Berdych,Ivan Ljubičić,"6–3, 6–4, 3–6, 4–6, 6–4"," Bob Bryan
 Mike Bryan"," Mark Knowles
 Daniel Nestor","6–4, 6–7(3–7), 6–4"
2006,Indian Wells,Roger Federer,James Blake,"7–5, 6–3, 6–0"," Mark Knowles
 Daniel Nestor"," Bob Bryan
 Mike Bryan","6–4, 6–4"
